DK_NAME[시설명],DK_BRIEF_NAME[시설약칭],EVENT_GUBUN[이벤트 분류],EVENT_NAME[이벤트 명],RENT_START_YMD,RENT_END_YMD,DK_DAY[사용 일수],SIN_PERSON[신청 행사 인원,JS_PERSON[정산 행사인원] - 실제 참여 인원
올림픽홀,올림픽홀,대중공연,2016 10CM 시즌콘서트 : 겨울편,20161222,20161225,4,5000,
올림픽홀,올림픽홀,대중공연,2016 휘성콘서트,20161222,20161225,4,3000,
뮤즈라이브,뮤즈라이브,문화예술행사,‘국악으로 밥벌어먹기’팀 제2회 정기연주회 & 다큐멘터리 상영회,20161223,20161223,1,150,
K-아트홀,K-아트홀,대중공연,[옴므]의 크리스마스 콘서트,20161223,20161225,3,700,627
핸드볼경기장,핸드볼경기장,문화예술행사,12월 KAVA 문화공연_KAVA AWARDS 2016,20161226,20161227,2,0,
핸드볼경기장,핸드볼경기장,문화예술행사,Kava Awards 2016',20161226,20161227,2,0,
올림픽홀,올림픽홀,대중공연,2016 김범수 연말 콘서트,20161227,20161231,5,2800,5372
올림픽홀,올림픽홀,대중공연,2016 바이브 연말콘서트,20161228,20161231,4,5200,
핸드볼경기장,핸드볼경기장,문화예술행사,2016 DJ DOC 콘서트,20161228,20170101,5,7300,5547
K-아트홀,K-아트홀,대중공연,2016 장혜진 Octet 연말 콘서트,20161229,20161231,3,389,318
뮤즈라이브,뮤즈라이브,문화예술행사,2016년 소울스타 연말 콘서트,20161229,20161231,3,450,340
